PATCO,AGELVLT,WORKSCHT,SALLVLT,CNT,AGELVLTMagnitude,WORKSCHTMagnitude,SALLVLTMagnitude
1,25-29,F-Full-time Nonseasonal,"$100,000 - $109,999",46,24507,154131,10369
1,50-54,I-Intermittent Nonseasonal,"$50,000 - $59,999",46,24493,13683,25502
1,40-44,F - Full-time Nonseasonal,"$150,000 - $159,999",46,19462,46662,4567
3,55-59,P-Part-time Nonseasonal,"$40,000 - $49,999",46,30359,10928,29706
4,65 or more,P-Part-time Nonseasonal,"$20,000 - $29,999",46,21557,10928,26970
1,20-24,I-Intermittent Nonseasonal,"Less than $20,000",46,15279,13683,1961
5,25-29,I-Intermittent Nonseasonal,"$40,000 - $49,999",46,24507,13683,29706
1,60-64,P-Part-time Nonseasonal,"$180,000 or more",46,28247,10928,3065
4,60-64,F-Full-time Nonseasonal,"$60,000 - $69,999",46,28247,154131,19480
2,35-39,F-Full-time Nonseasonal,"$150,000 - $159,999",46,21648,154131,4567
1,60-64,G-Full-time Seasonal,"$70,000 - $79,999",46,28247,4991,19003
3,55-59,G-Full-time Seasonal,"$40,000 - $49,999",46,30359,4991,29706
3,55-59,F-Full-time Nonseasonal,"$100,000 - $109,999",45,30359,154131,10369
2,50-54,F - Full-time Nonseasonal,"$160,000 - $169,999",45,24493,46662,1603
4,65 or more,F - Full-time Nonseasonal,"$40,000 - $49,999",45,21557,46662,29706
5,60-64,F-Full-time Nonseasonal,"$40,000 - $49,999",45,28247,154131,29706
6,20-24,G-Full-time Seasonal,"$30,000 - $39,999",45,15279,4991,40789
6,45-49,F - Full-time Nonseasonal,"$30,000 - $39,999",45,21059,46662,40789
1,20-24,F - Full-time Nonseasonal,"$50,000 - $59,999",45,15279,46662,25502
1,25-29,P-Part-time Nonseasonal,"$40,000 - $49,999",44,24507,10928,29706
1,65 or more,I-Intermittent Nonseasonal,"$100,000 - $109,999",44,21557,13683,10369
1,45-49,P-Part-time Nonseasonal,"$180,000 or more",44,21059,10928,3065
1,35-39,F - Full-time Nonseasonal,"$130,000 - $139,999",44,21648,46662,5096
2,45-49,F - Full-time Nonseasonal,"$40,000 - $49,999",44,21059,46662,29706
4,50-54,F - Full-time Nonseasonal,"$50,000 - $59,999",44,24493,46662,25502
3,35-39,P-Part-time Nonseasonal,"$40,000 - $49,999",44,21648,10928,29706
3,25-29,F - Full-time Nonseasonal,"$20,000 - $29,999",43,24507,46662,26970
2,60-64,F - Full-time Nonseasonal,"$140,000 - $149,999",43,28247,46662,2587
4,65 or more,F - Full-time Nonseasonal,"$30,000 - $39,999",43,21557,46662,40789
6,30-34,F - Full-time Nonseasonal,"$30,000 - $39,999",43,26878,46662,40789
2,35-39,F - Full-time Nonseasonal,"$130,000 - $139,999",43,21648,46662,5096
4,30-34,F - Full-time Nonseasonal,"$40,000 - $49,999",43,26878,46662,29706
5,25-29,F - Full-time Nonseasonal,"$70,000 - $79,999",43,24507,46662,19003
6,40-44,F - Full-time Nonseasonal,"$30,000 - $39,999",43,19462,46662,40789
2,65 or more,F-Full-time Nonseasonal,"$180,000 or more",43,21557,154131,3065
6,35-39,P-Part-time Nonseasonal,"$30,000 - $39,999",43,21648,10928,40789
6,65 or more,F - Full-time Nonseasonal,"$50,000 - $59,999",43,21557,46662,25502
1,65 or more,F-Full-time Nonseasonal,"$50,000 - $59,999",42,21557,154131,25502
1,55-59,F - Full-time Nonseasonal,"$160,000 - $169,999",42,30359,46662,1603
5,50-54,F-Full-time Nonseasonal,"$90,000 - $99,999",42,24493,154131,14905
1,55-59,I-Intermittent Nonseasonal,"$130,000 - $139,999",42,30359,13683,5096
4,35-39,F - Full-time Nonseasonal,"$40,000 - $49,999",42,21648,46662,29706
6,45-49,P-Part-time Nonseasonal,"$20,000 - $29,999",41,21059,10928,26970
2,60-64,I-Intermittent Nonseasonal,"$90,000 - $99,999",41,28247,13683,14905
6,Unspecified,F-Full-time Nonseasonal,"Less than $20,000",41,99,154131,1961
3,40-44,F-Full-time Nonseasonal,"$70,000 - $79,999",41,19462,154131,19003
5,45-49,F - Full-time Nonseasonal,"$70,000 - $79,999",41,21059,46662,19003
3,65 or more,P-Part-time Nonseasonal,"$50,000 - $59,999",41,21557,10928,25502
1,50-54,F - Full-time Nonseasonal,"$160,000 - $169,999",41,24493,46662,1603
1,50-54,F-Full-time Nonseasonal,"$40,000 - $49,999",41,24493,154131,29706
6,55-59,F - Full-time Nonseasonal,"$20,000 - $29,999",41,30359,46662,26970
6,60-64,F-Full-time Nonseasonal,"$90,000 - $99,999",41,28247,154131,14905
3,25-29,G-Full-time Seasonal,"$40,000 - $49,999",41,24507,4991,29706
3,65 or more,I-Intermittent Nonseasonal,"$30,000 - $39,999",41,21557,13683,40789
3,40-44,G-Full-time Seasonal,"$40,000 - $49,999",40,19462,4991,29706
2,50-54,F - Full-time Nonseasonal,"$170,000 - $179,999",40,24493,46662,945
5,55-59,F-Full-time Nonseasonal,"$90,000 - $99,999",40,30359,154131,14905
3,65 or more,G-Full-time Seasonal,"$30,000 - $39,999",40,21557,4991,40789
2,65 or more,F-Full-time Nonseasonal,"$170,000 - $179,999",40,21557,154131,945
1,60-64,F - Full-time Nonseasonal,"$140,000 - $149,999",40,28247,46662,2587
6,40-44,F-Full-time Nonseasonal,"$70,000 - $79,999",40,19462,154131,19003
2,20-24,F - Full-time Nonseasonal,"$40,000 - $49,999",40,15279,46662,29706
3,35-39,F - Full-time Nonseasonal,"$60,000 - $69,999",40,21648,46662,19480
5,35-39,F-Full-time Nonseasonal,"$70,000 - $79,999",40,21648,154131,19003
5,40-44,F - Full-time Nonseasonal,"$40,000 - $49,999",40,19462,46662,29706
3,55-59,F - Full-time Nonseasonal,"$90,000 - $99,999",40,30359,46662,14905
5,50-54,F-Full-time Nonseasonal,"$80,000 - $89,999",39,24493,154131,14182
6,20-24,P-Part-time Nonseasonal,"$30,000 - $39,999",39,15279,10928,40789
4,65 or more,F-Full-time Nonseasonal,"$60,000 - $69,999",39,21557,154131,19480
2,50-54,I-Intermittent Nonseasonal,"$50,000 - $59,999",39,24493,13683,25502
5,20-24,F - Full-time Nonseasonal,"$30,000 - $39,999",39,15279,46662,40789
6,25-29,G-Full-time Seasonal,"$30,000 - $39,999",39,24507,4991,40789
5,45-49,F - Full-time Nonseasonal,"$90,000 - $99,999",39,21059,46662,14905
1,20-24,F - Full-time Nonseasonal,"$40,000 - $49,999",39,15279,46662,29706
6,65 or more,F - Full-time Nonseasonal,"$40,000 - $49,999",39,21557,46662,29706
3,35-39,F-Full-time Nonseasonal,"$70,000 - $79,999",39,21648,154131,19003
5,30-34,I-Intermittent Nonseasonal,"$30,000 - $39,999",38,26878,13683,40789
5,30-34,F-Full-time Nonseasonal,"$60,000 - $69,999",38,26878,154131,19480
4,Less than 20,P-Part-time Nonseasonal,"Less than $20,000",38,2541,10928,1961
2,55-59,I-Intermittent Nonseasonal,Unspecified or Zero,38,30359,13683,1350
1,55-59,F-Full-time Nonseasonal,"$170,000 - $179,999",38,30359,154131,945
6,20-24,F - Full-time Nonseasonal,"$30,000 - $39,999",38,15279,46662,40789
3,30-34,P-Part-time Nonseasonal,"$20,000 - $29,999",38,26878,10928,26970
5,30-34,I-Intermittent Nonseasonal,"$20,000 - $29,999",38,26878,13683,26970
2,50-54,F - Full-time Nonseasonal,"$40,000 - $49,999",38,24493,46662,29706
2,65 or more,F-Full-time Nonseasonal,"$40,000 - $49,999",38,21557,154131,29706
4,40-44,F-Full-time Nonseasonal,"$50,000 - $59,999",37,19462,154131,25502
2,65 or more,I-Intermittent Nonseasonal,"$150,000 - $159,999",37,21557,13683,4567
2,65 or more,F - Full-time Nonseasonal,"$120,000 - $129,999",37,21557,46662,5366
6,65 or more,P-Part-time Nonseasonal,"$30,000 - $39,999",37,21557,10928,40789
1,65 or more,I-Intermittent Nonseasonal,"$90,000 - $99,999",37,21557,13683,14905
3,55-59,F - Full-time Nonseasonal,"$80,000 - $89,999",37,30359,46662,14182
6,35-39,P-Part-time Nonseasonal,"$20,000 - $29,999",37,21648,10928,26970
3,25-29,P - Part-time Nonseasonal,"$30,000 - $39,999",36,24507,1307,40789
3,60-64,P-Part-time Nonseasonal,"$50,000 - $59,999",36,28247,10928,25502
6,35-39,F - Full-time Nonseasonal,"$70,000 - $79,999",36,21648,46662,19003
2,20-24,I-Intermittent Nonseasonal,"$20,000 - $29,999",36,15279,13683,26970
6,40-44,P-Part-time Nonseasonal,"$30,000 - $39,999",36,19462,10928,40789
1,65 or more,I-Intermittent Nonseasonal,"$150,000 - $159,999",36,21557,13683,4567
6,55-59,F - Full-time Nonseasonal,"$70,000 - $79,999",36,30359,46662,19003
5,45-49,F-Full-time Nonseasonal,"$60,000 - $69,999",36,21059,154131,19480
1,40-44,F - Full-time Nonseasonal,"$140,000 - $149,999",36,19462,46662,2587
2,30-34,I-Intermittent Nonseasonal,"$30,000 - $39,999",36,26878,13683,40789
1,50-54,F-Full-time Nonseasonal,"$160,000 - $169,999",36,24493,154131,1603
5,40-44,F-Full-time Nonseasonal,"$70,000 - $79,999",36,19462,154131,19003
3,Less than 20,P-Part-time Nonseasonal,"$20,000 - $29,999",36,2541,10928,26970
2,55-59,F - Full-time Nonseasonal,"$160,000 - $169,999",36,30359,46662,1603
2,30-34,F - Full-time Nonseasonal,"$130,000 - $139,999",36,26878,46662,5096
2,50-54,F - Full-time Nonseasonal,"$180,000 or more",35,24493,46662,3065
2,55-59,I-Intermittent Nonseasonal,"$30,000 - $39,999",35,30359,13683,40789
5,40-44,F-Full-time Nonseasonal,"$20,000 - $29,999",35,19462,154131,26970
3,20-24,F-Full-time Nonseasonal,"$50,000 - $59,999",35,15279,154131,25502
3,40-44,P-Part-time Nonseasonal,"$40,000 - $49,999",35,19462,10928,29706
2,30-34,F - Full-time Nonseasonal,"$120,000 - $129,999",35,26878,46662,5366
1,30-34,P-Part-time Nonseasonal,"$20,000 - $29,999",35,26878,10928,26970
4,20-24,F - Full-time Nonseasonal,"$30,000 - $39,999",35,15279,46662,40789
1,20-24,F-Full-time Nonseasonal,"$30,000 - $39,999",35,15279,154131,40789
6,20-24,I-Intermittent Nonseasonal,"$30,000 - $39,999",35,15279,13683,40789
1,65 or more,F - Full-time Nonseasonal,"$120,000 - $129,999",35,21557,46662,5366
5,20-24,P - Part-time Nonseasonal,"$20,000 - $29,999",35,15279,1307,26970
1,55-59,F - Full-time Nonseasonal,"$50,000 - $59,999",34,30359,46662,25502
2,65 or more,F - Full-time Nonseasonal,"$150,000 - $159,999",34,21557,46662,4567
1,65 or more,F - Full-time Nonseasonal,"$160,000 - $169,999",34,21557,46662,1603
1,35-39,P-Part-time Nonseasonal,"$60,000 - $69,999",34,21648,10928,19480
6,25-29,F - Full-time Nonseasonal,"$60,000 - $69,999",34,24507,46662,19480
1,25-29,I-Intermittent Nonseasonal,"$110,000 - $119,999",34,24507,13683,8683
2,60-64,P-Part-time Nonseasonal,"$70,000 - $79,999",34,28247,10928,19003
6,60-64,P-Part-time Nonseasonal,"$30,000 - $39,999",34,28247,10928,40789
3,25-29,F - Full-time Nonseasonal,"$50,000 - $59,999",34,24507,46662,25502
3,65 or more,P-Part-time Nonseasonal,"$20,000 - $29,999",34,21557,10928,26970
6,40-44,P-Part-time Nonseasonal,"$20,000 - $29,999",34,19462,10928,26970
6,Less than 20,P-Part-time Nonseasonal,"Less than $20,000",34,2541,10928,1961
2,55-59,I-Intermittent Nonseasonal,"$60,000 - $69,999",34,30359,13683,19480
1,50-54,P-Part-time Nonseasonal,"$180,000 or more",34,24493,10928,3065
2,55-59,I-Intermittent Nonseasonal,"$40,000 - $49,999",34,30359,13683,29706
5,25-29,P-Part-time Nonseasonal,"$40,000 - $49,999",34,24507,10928,29706
5,40-44,F-Full-time Nonseasonal,"$60,000 - $69,999",34,19462,154131,19480
3,40-44,F - Full-time Nonseasonal,"$70,000 - $79,999",33,19462,46662,19003
5,45-49,F-Full-time Nonseasonal,"$20,000 - $29,999",33,21059,154131,26970
6,45-49,F-Full-time Nonseasonal,"$80,000 - $89,999",33,21059,154131,14182
3,35-39,F-Full-time Nonseasonal,"$100,000 - $109,999",33,21648,154131,10369
5,25-29,F-Full-time Nonseasonal,"$60,000 - $69,999",33,24507,154131,19480
4,35-39,F-Full-time Nonseasonal,"$50,000 - $59,999",33,21648,154131,25502
1,20-24,F-Full-time Nonseasonal,"Less than $20,000",33,15279,154131,1961
4,65 or more,I - Intermittent Nonseasonal,"$30,000 - $39,999",33,21557,1125,40789
1,60-64,F - Full-time Nonseasonal,"$160,000 - $169,999",33,28247,46662,1603
3,45-49,J-Intermittent Seasonal,"$20,000 - $29,999",33,21059,1668,26970
1,65 or more,G-Full-time Seasonal,"$70,000 - $79,999",33,21557,4991,19003
1,55-59,I-Intermittent Nonseasonal,"$60,000 - $69,999",33,30359,13683,19480
3,65 or more,F - Full-time Nonseasonal,"$30,000 - $39,999",33,21557,46662,40789
5,25-29,F - Full-time Nonseasonal,"$50,000 - $59,999",33,24507,46662,25502
2,50-54,I-Intermittent Nonseasonal,"$30,000 - $39,999",32,24493,13683,40789
5,50-54,F - Full-time Nonseasonal,"$60,000 - $69,999",32,24493,46662,19480
3,45-49,I-Intermittent Nonseasonal,"$40,000 - $49,999",32,21059,13683,29706
3,50-54,I-Intermittent Nonseasonal,"$40,000 - $49,999",32,24493,13683,29706
2,30-34,I-Intermittent Nonseasonal,"$40,000 - $49,999",32,26878,13683,29706
1,55-59,I-Intermittent Nonseasonal,"$110,000 - $119,999",32,30359,13683,8683
5,55-59,F-Full-time Nonseasonal,"$80,000 - $89,999",32,30359,154131,14182
3,60-64,F - Full-time Nonseasonal,"$70,000 - $79,999",32,28247,46662,19003
5,60-64,F-Full-time Nonseasonal,"$50,000 - $59,999",32,28247,154131,25502
1,60-64,I-Intermittent Nonseasonal,"$60,000 - $69,999",32,28247,13683,19480
1,65 or more,I-Intermittent Nonseasonal,Unspecified or Zero,32,21557,13683,1350
1,60-64,G-Full-time Seasonal,"$60,000 - $69,999",32,28247,4991,19480
5,45-49,F-Full-time Nonseasonal,"$70,000 - $79,999",31,21059,154131,19003
4,30-34,F-Full-time Nonseasonal,"$50,000 - $59,999",31,26878,154131,25502
5,35-39,F - Full-time Nonseasonal,"$80,000 - $89,999",31,21648,46662,14182
3,55-59,J-Intermittent Seasonal,"$20,000 - $29,999",31,30359,1668,26970
3,55-59,F-Full-time Nonseasonal,Unspecified or Zero,31,30359,154131,1350
3,35-39,I-Intermittent Nonseasonal,"$40,000 - $49,999",31,21648,13683,29706
3,60-64,F-Full-time Nonseasonal,"$100,000 - $109,999",31,28247,154131,10369
5,55-59,F-Full-time Nonseasonal,"$70,000 - $79,999",31,30359,154131,19003
2,50-54,I-Intermittent Nonseasonal,"$40,000 - $49,999",31,24493,13683,29706
3,50-54,F - Full-time Nonseasonal,"$80,000 - $89,999",31,24493,46662,14182
3,Less than 20,I-Intermittent Nonseasonal,"$20,000 - $29,999",31,2541,13683,26970
3,50-54,F-Full-time Nonseasonal,"$80,000 - $89,999",31,24493,154131,14182
3,35-39,G - Full-time Seasonal,"$40,000 - $49,999",31,21648,729,29706
5,20-24,F-Full-time Nonseasonal,"$50,000 - $59,999",31,15279,154131,25502
1,60-64,G-Full-time Seasonal,"$80,000 - $89,999",31,28247,4991,14182
4,55-59,F - Full-time Nonseasonal,"$50,000 - $59,999",30,30359,46662,25502
2,25-29,F-Full-time Nonseasonal,"$100,000 - $109,999",30,24507,154131,10369
2,40-44,I-Intermittent Nonseasonal,"$50,000 - $59,999",30,19462,13683,25502
2,65 or more,P-Part-time Nonseasonal,"$70,000 - $79,999",30,21557,10928,19003
4,55-59,F-Full-time Nonseasonal,"$60,000 - $69,999",30,30359,154131,19480
1,45-49,F-Full-time Nonseasonal,"$160,000 - $169,999",30,21059,154131,1603
3,40-44,I-Intermittent Nonseasonal,"$20,000 - $29,999",30,19462,13683,26970
3,40-44,I-Intermittent Nonseasonal,"$40,000 - $49,999",30,19462,13683,29706
2,60-64,I-Intermittent Nonseasonal,"$30,000 - $39,999",30,28247,13683,40789
2,25-29,F - Full-time Nonseasonal,"$30,000 - $39,999",30,24507,46662,40789
2,45-49,F-Full-time Nonseasonal,"$180,000 or more",29,21059,154131,3065
2,45-49,F - Full-time Nonseasonal,"$160,000 - $169,999",29,21059,46662,1603
5,60-64,F-Full-time Nonseasonal,"$30,000 - $39,999",29,28247,154131,40789
6,35-39,F - Full-time Nonseasonal,"$30,000 - $39,999",29,21648,46662,40789
3,65 or more,I-Intermittent Nonseasonal,"$50,000 - $59,999",29,21557,13683,25502
2,60-64,P-Part-time Nonseasonal,"$80,000 - $89,999",29,28247,10928,14182
3,60-64,I-Intermittent Nonseasonal,"$20,000 - $29,999",29,28247,13683,26970
3,65 or more,I-Intermittent Nonseasonal,"$40,000 - $49,999",29,21557,13683,29706
3,30-34,I-Intermittent Nonseasonal,"$40,000 - $49,999",29,26878,13683,29706
1,65 or more,I-Intermittent Nonseasonal,"$60,000 - $69,999",29,21557,13683,19480
3,30-34,G - Full-time Seasonal,"$30,000 - $39,999",29,26878,729,40789
1,65 or more,P-Part-time Nonseasonal,"$110,000 - $119,999",29,21557,10928,8683
4,45-49,F - Full-time Nonseasonal,"$50,000 - $59,999",29,21059,46662,25502
1,55-59,I-Intermittent Nonseasonal,"$20,000 - $29,999",29,30359,13683,26970
2,40-44,F - Full-time Nonseasonal,"$140,000 - $149,999",29,19462,46662,2587
1,60-64,P-Part-time Nonseasonal,"$90,000 - $99,999",29,28247,10928,14905
3,35-39,F-Full-time Nonseasonal,Unspecified or Zero,29,21648,154131,1350
3,35-39,G-Full-time Seasonal,"$20,000 - $29,999",29,21648,4991,26970
5,50-54,F - Full-time Nonseasonal,"$40,000 - $49,999",29,24493,46662,29706
6,50-54,F - Full-time Nonseasonal,"$20,000 - $29,999",29,24493,46662,26970
6,50-54,F - Full-time Nonseasonal,"$80,000 - $89,999",29,24493,46662,14182
3,40-44,J-Intermittent Seasonal,"$20,000 - $29,999",28,19462,1668,26970
6,60-64,P-Part-time Nonseasonal,"$20,000 - $29,999",28,28247,10928,26970
3,45-49,P-Part-time Nonseasonal,"$40,000 - $49,999",28,21059,10928,29706
3,25-29,F-Full-time Nonseasonal,"$60,000 - $69,999",28,24507,154131,19480
3,25-29,G - Full-time Seasonal,"$30,000 - $39,999",28,24507,729,40789
6,Unspecified,P-Part-time Nonseasonal,"Less than $20,000",28,99,10928,1961
6,60-64,F - Full-time Nonseasonal,"$20,000 - $29,999",28,28247,46662,26970
1,45-49,I-Intermittent Nonseasonal,"$50,000 - $59,999",28,21059,13683,25502
2,30-34,I-Intermittent Nonseasonal,"$20,000 - $29,999",28,26878,13683,26970
4,25-29,P - Part-time Nonseasonal,"$30,000 - $39,999",28,24507,1307,40789
1,25-29,G-Full-time Seasonal,"$40,000 - $49,999",28,24507,4991,29706
2,45-49,F-Full-time Nonseasonal,"$170,000 - $179,999",28,21059,154131,945
1,40-44,I-Intermittent Nonseasonal,"$50,000 - $59,999",28,19462,13683,25502
1,40-44,F-Full-time Nonseasonal,"$170,000 - $179,999",28,19462,154131,945
6,45-49,F - Full-time Nonseasonal,"$80,000 - $89,999",28,21059,46662,14182
3,20-24,F - Full-time Nonseasonal,"$20,000 - $29,999",28,15279,46662,26970
1,50-54,I-Intermittent Nonseasonal,"$130,000 - $139,999",28,24493,13683,5096
3,55-59,I-Intermittent Nonseasonal,"$40,000 - $49,999",28,30359,13683,29706
1,35-39,I-Intermittent Nonseasonal,"$60,000 - $69,999",28,21648,13683,19480
5,35-39,P-Part-time Nonseasonal,"$20,000 - $29,999",28,21648,10928,26970
5,40-44,F - Full-time Nonseasonal,"$60,000 - $69,999",28,19462,46662,19480
5,50-54,F-Full-time Nonseasonal,"$20,000 - $29,999",27,24493,154131,26970
6,25-29,F - Full-time Nonseasonal,"$20,000 - $29,999",27,24507,46662,26970
1,25-29,I-Intermittent Nonseasonal,"$30,000 - $39,999",27,24507,13683,40789
2,55-59,I-Intermittent Nonseasonal,"$70,000 - $79,999",27,30359,13683,19003
1,50-54,P-Part-time Nonseasonal,"$70,000 - $79,999",27,24493,10928,19003
1,50-54,P - Part-time Nonseasonal,"$180,000 or more",27,24493,1307,3065
5,45-49,F - Full-time Nonseasonal,"$40,000 - $49,999",27,21059,46662,29706
2,55-59,F - Full-time Nonseasonal,"$180,000 or more",27,30359,46662,3065
3,50-54,F - Full-time Nonseasonal,"$90,000 - $99,999",27,24493,46662,14905
2,60-64,I-Intermittent Nonseasonal,"$130,000 - $139,999",27,28247,13683,5096
2,60-64,F-Full-time Nonseasonal,Unspecified or Zero,27,28247,154131,1350
5,45-49,F - Full-time Nonseasonal,"$60,000 - $69,999",27,21059,46662,19480
2,55-59,F - Full-time Nonseasonal,"$40,000 - $49,999",27,30359,46662,29706
1,60-64,I-Intermittent Nonseasonal,"$90,000 - $99,999",27,28247,13683,14905
4,55-59,P - Part-time Nonseasonal,"$30,000 - $39,999",27,30359,1307,40789
4,20-24,P - Part-time Nonseasonal,"$30,000 - $39,999",26,15279,1307,40789
1,35-39,F - Full-time Nonseasonal,"$40,000 - $49,999",26,21648,46662,29706
1,65 or more,F - Full-time Nonseasonal,"$60,000 - $69,999",26,21557,46662,19480
1,45-49,P - Part-time Nonseasonal,"$180,000 or more",26,21059,1307,3065
2,40-44,F-Full-time Nonseasonal,"$160,000 - $169,999",26,19462,154131,1603
3,60-64,F - Full-time Nonseasonal,"$80,000 - $89,999",26,28247,46662,14182
5,35-39,I-Intermittent Nonseasonal,"$30,000 - $39,999",25,21648,13683,40789
3,30-34,F - Full-time Nonseasonal,"$60,000 - $69,999",25,26878,46662,19480
1,50-54,I-Intermittent Nonseasonal,"$60,000 - $69,999",25,24493,13683,19480
5,20-24,F - Full-time Nonseasonal,"$20,000 - $29,999",25,15279,46662,26970
4,25-29,F - Full-time Nonseasonal,"$40,000 - $49,999",25,24507,46662,29706
2,60-64,I-Intermittent Nonseasonal,"$150,000 - $159,999",25,28247,13683,4567
6,30-34,F - Full-time Nonseasonal,"$20,000 - $29,999",25,26878,46662,26970
1,25-29,F-Full-time Nonseasonal,"$110,000 - $119,999",25,24507,154131,8683
3,60-64,F-Full-time Nonseasonal,Unspecified or Zero,25,28247,154131,1350
1,45-49,F - Full-time Nonseasonal,"$160,000 - $169,999",25,21059,46662,1603
1,35-39,F - Full-time Nonseasonal,"$140,000 - $149,999",25,21648,46662,2587
1,35-39,P-Part-time Nonseasonal,"$70,000 - $79,999",25,21648,10928,19003
3,55-59,F-Full-time Nonseasonal,"$120,000 - $129,999",25,30359,154131,5366
3,30-34,G - Full-time Seasonal,"$40,000 - $49,999",25,26878,729,29706
2,35-39,I-Intermittent Nonseasonal,"$30,000 - $39,999",25,21648,13683,40789
1,30-34,I-Intermittent Nonseasonal,"$180,000 or more",25,26878,13683,3065
1,60-64,I-Intermittent Nonseasonal,"$100,000 - $109,999",25,28247,13683,10369
3,50-54,P-Part-time Nonseasonal,"$40,000 - $49,999",25,24493,10928,29706
1,55-59,P-Part-time Nonseasonal,"$180,000 or more",25,30359,10928,3065
1,35-39,G-Full-time Seasonal,"$60,000 - $69,999",25,21648,4991,19480
6,65 or more,I-Intermittent Nonseasonal,"$30,000 - $39,999",24,21557,13683,40789
2,35-39,I-Intermittent Nonseasonal,"$40,000 - $49,999",24,21648,13683,29706
3,65 or more,G-Full-time Seasonal,"$50,000 - $59,999",24,21557,4991,25502
3,50-54,I-Intermittent Nonseasonal,"$20,000 - $29,999",24,24493,13683,26970
1,30-34,F - Full-time Nonseasonal,"$130,000 - $139,999",24,26878,46662,5096
4,55-59,I - Intermittent Nonseasonal,"$20,000 - $29,999",24,30359,1125,26970
5,35-39,F - Full-time Nonseasonal,"$90,000 - $99,999",24,21648,46662,14905
5,35-39,F-Full-time Nonseasonal,"$60,000 - $69,999",24,21648,154131,19480
2,50-54,F-Full-time Nonseasonal,Unspecified or Zero,24,24493,154131,1350
6,65 or more,P-Part-time Nonseasonal,"$20,000 - $29,999",24,21557,10928,26970
1,55-59,G-Full-time Seasonal,"$70,000 - $79,999",24,30359,4991,19003
3,60-64,J-Intermittent Seasonal,"$20,000 - $29,999",24,28247,1668,26970
6,30-34,F - Full-time Nonseasonal,"$70,000 - $79,999",24,26878,46662,19003
1,65 or more,F-Full-time Nonseasonal,Unspecified or Zero,24,21557,154131,1350
3,55-59,P-Part-time Nonseasonal,"$20,000 - $29,999",24,30359,10928,26970
3,65 or more,F-Full-time Nonseasonal,"$100,000 - $109,999",24,21557,154131,10369
5,40-44,F - Full-time Nonseasonal,"$90,000 - $99,999",24,19462,46662,14905
1,30-34,P-Part-time Nonseasonal,"$70,000 - $79,999",24,26878,10928,19003
1,30-34,I-Intermittent Nonseasonal,"$50,000 - $59,999",24,26878,13683,25502
5,50-54,F-Full-time Nonseasonal,"$100,000 - $109,999",24,24493,154131,10369
2,55-59,F - Full-time Nonseasonal,"$170,000 - $179,999",23,30359,46662,945
1,30-34,I-Intermittent Nonseasonal,"$60,000 - $69,999",23,26878,13683,19480
1,45-49,I-Intermittent Nonseasonal,"$60,000 - $69,999",23,21059,13683,19480
6,20-24,F - Full-time Nonseasonal,"$50,000 - $59,999",23,15279,46662,25502
2,60-64,F - Full-time Nonseasonal,"$160,000 - $169,999",23,28247,46662,1603
6,30-34,G-Full-time Seasonal,"$30,000 - $39,999",23,26878,4991,40789
3,40-44,F - Full-time Nonseasonal,"$80,000 - $89,999",23,19462,46662,14182
1,30-34,G-Full-time Seasonal,"$40,000 - $49,999",23,26878,4991,29706
1,35-39,F-Full-time Nonseasonal,"$170,000 - $179,999",23,21648,154131,945
6,65 or more,F - Full-time Nonseasonal,"$60,000 - $69,999",23,21557,46662,19480
2,60-64,P-Part-time Nonseasonal,"$90,000 - $99,999",23,28247,10928,14905
6,Less than 20,P-Part-time Nonseasonal,"$20,000 - $29,999",23,2541,10928,26970
2,30-34,F - Full-time Nonseasonal,"$30,000 - $39,999",23,26878,46662,40789
1,25-29,F - Full-time Nonseasonal,"$30,000 - $39,999",23,24507,46662,40789
1,55-59,F-Full-time Nonseasonal,"$20,000 - $29,999",23,30359,154131,26970
1,60-64,F-Full-time Nonseasonal,Unspecified or Zero,23,28247,154131,1350
1,20-24,P-Part-time Nonseasonal,"$20,000 - $29,999",23,15279,10928,26970
5,40-44,F - Full-time Nonseasonal,"$80,000 - $89,999",23,19462,46662,14182
3,45-49,F - Full-time Nonseasonal,"$80,000 - $89,999",23,21059,46662,14182
1,35-39,F-Full-time Nonseasonal,"$160,000 - $169,999",23,21648,154131,1603
1,25-29,F-Full-time Nonseasonal,"Less than $20,000",22,24507,154131,1961
2,55-59,F-Full-time Nonseasonal,Unspecified or Zero,22,30359,154131,1350
2,40-44,I-Intermittent Nonseasonal,"$40,000 - $49,999",22,19462,13683,29706
1,40-44,I-Intermittent Nonseasonal,"$60,000 - $69,999",22,19462,13683,19480
1,40-44,F-Full-time Nonseasonal,"$20,000 - $29,999",22,19462,154131,26970
1,35-39,P - Part-time Nonseasonal,"$180,000 or more",22,21648,1307,3065
1,65 or more,P-Part-time Nonseasonal,"$150,000 - $159,999",22,21557,10928,4567
4,60-64,F - Full-time Nonseasonal,"$50,000 - $59,999",22,28247,46662,25502
6,65 or more,F - Full-time Nonseasonal,"$30,000 - $39,999",22,21557,46662,40789
1,65 or more,I-Intermittent Nonseasonal,"$120,000 - $129,999",22,21557,13683,5366
6,65 or more,G-Full-time Seasonal,"$50,000 - $59,999",22,21557,4991,25502
3,20-24,Q-Part-time Seasonal,"$20,000 - $29,999",22,15279,697,26970
6,60-64,F - Full-time Nonseasonal,"$70,000 - $79,999",22,28247,46662,19003
